State,Clinton,Trump,Other,Reported
Ala.,35,63,2,100
Alaska,38,53,6,98
Ariz.,45,50,4,100
Ark.,34,60,3,100
Calif.,62,33,3,100
Colo.,47,45,5,100
Conn.,54,42,3,96
D.C.,93,4,2,100
Del.,53,42,3,100
Fla.,48,49,2,100
Ga.,46,51,3,100
Hawaii,62,30,4,100
Idaho,28,59,7,100
Ill.,55,39,4,99
Ind.,38,57,5,99
Iowa,42,52,4,99
Kan.,36,57,5,99
Ky.,33,63,3,100
La.,38,58,2,100
Mass.,61,34,4,100
Md.,61,35,3,99
Me.,48,45,5,98
Mich.,47,48,4,100
Minn.,47,45,4,100
Miss.,40,58,1,100
Mo.,38,57,4,99
Mont.,36,57,6,100
N.C.,47,51,3,100
N.D.,28,64,6,100
N.H.,48,47,4,100
N.J.,55,42,2,99
N.M.,48,40,9,100
N.Y.,59,38,2,99
Neb.,34,60,5,100
Nev.,48,46,3,100
Ohio,44,52,3,100
Okla.,29,65,6,100
Ore.,52,41,5,99
Pa.,48,49,2,99
R.I.,55,40,3,99
S.C.,41,55,2,100
S.D.,32,62,6,100
Tenn.,35,61,3,100
Tex.,43,53,3,99
Utah,28,47,20,78
Va.,50,45,3,99
Vt.,61,33,3,100
W.Va.,27,69,3,100
Wash.,56,38,4,68
Wis.,47,48,4,100
Wyo.,23,70,5,100
